# date	PRE_ALL	PRE_GPS	PRE_GLO	PRE_GAL
2025-12-26	NaN	NaN	NaN	NaN
2025-12-27	NaN	NaN	NaN	NaN
2025-12-28	NaN	NaN	NaN	NaN
2025-12-29	26.74	2.63	7.63	46.28
2025-12-30	3.76	0.93	6.97	0.94
2025-12-31	20.82	0.85	39.42	0.97
2026-01-01	15.16	0.88	28.69	0.92
2026-01-02	3.82	0.91	7.03	1.01
2026-01-03	1.97	0.91	3.44	0.89
2026-01-04	2.53	0.72	4.62	0.86
2026-01-05	2.73	0.86	4.96	0.97
2026-01-06	2.27	1.46	3.74	1.09
2026-01-07	3.01	0.77	5.54	0.95
2026-01-08	10.84	1.96	20.37	0.91
2026-01-09	11.33	0.86	21.28	0.93
2026-01-10	2.27	1.1	3.96	0.89
2026-01-11	2.13	0.84	3.75	0.94
2026-01-12	2.48	0.73	4.51	0.75
2026-01-13	8.03	0.8	15.05	1.12
2026-01-14	5.62	0.9	10.49	0.85
2026-01-15	3.7	0.91	6.81	0.92
2026-01-16	5.27	0.98	9.79	1
2026-01-17	3.21	0.91	5.8	1.24
2026-01-18	1.5	0.91	2.34	1.17
2026-01-19	1.44	0.95	2.23	1.06
2026-01-20	1.52	1.23	2.18	1.13
2026-01-21	1.52	0.97	2.45	0.98
2026-01-22	1.44	0.96	2.29	0.93
2026-01-23	1.37	0.95	2.09	1
2026-01-24	1.3	0.88	1.97	0.99
2026-01-25	1.89	0.9	3.27	0.99
2026-01-26	2.75	0.88	5.06	0.9
2026-01-27	1.37	0.87	2.21	0.88
2026-01-28	1.38	0.88	2.18	0.92
2026-01-29	1.41	1.06	2.04	1.07
2026-01-30	1.9	2.04	2.27	1.29
2026-01-31	1.37	0.96	2.12	0.94
2026-02-01	1.32	0.92	2.03	0.96
2026-02-02	1.25	0.88	1.92	0.9
2026-02-03	NaN	NaN	NaN	NaN
