# date	mean_Pos_R	mean_Pos_A	mean_Pos_C	RMS_Pos_R	RMS_Pos_A	RMS_Pos_C
2026-01-28	-0	1.3	-0.3	10.3	16.1	13.6
2026-01-29	0	0.6	-0.7	11.6	14.8	13.3
2026-01-30	-0	0.8	-2.1	18.8	18.5	16.3
2026-01-31	-0	1.1	-2.2	10.4	13.6	15
2026-02-01	0	1	-1	9.7	13.9	12.8
2026-02-02	0	0.8	-0.3	9.1	14.1	12.5
2026-02-03	0	0.7	-1.5	10.6	15.9	14.2
2026-02-04	0	1.5	-1.5	10.6	16.3	14.8
2026-02-05	-0	1.4	-1.6	10	14	14.5
2026-02-06	0	0.6	0.1	9.3	14.7	14.4
2026-02-07	-0	1.3	-1.7	9.4	14.2	12.8
2026-02-08	0	0.6	-1.2	10.6	13.5	12.6
2026-02-09	0	0.4	-2.1	11.3	15.5	13
2026-02-10	-0	1.1	-2.2	10.2	14.2	12.8
2026-02-11	0	0.4	-3	12.3	17.6	14.2
2026-02-12	-0	0.3	-1.4	10	14.6	13.4
2026-02-13	-0	0.8	-2.6	13.7	13.2	18.8
2026-02-14	-0	0.5	-2.2	11.6	14.9	16.6
2026-02-15	-0	1.1	-1.4	11.8	14.4	14.1
2026-02-16	-0	0.6	-2.8	11.4	15.2	16.7
2026-02-17	0	0.8	-2.9	11.9	16.6	15.7
2026-02-18	-0.1	0.3	-1.6	10.5	14.7	13.7
2026-02-19	0	1.3	-2.4	10.7	15.1	14.6
2026-02-20	0	0.9	-3.5	11.2	14.4	15.8
2026-02-21	-0	1	-2.3	11.4	13.9	15.3
2026-02-22	0	0.8	-1.6	11.8	15.8	18.1
2026-02-23	-0	0.5	-2.8	14.1	15.9	17.3
2026-02-24	0.1	1.3	-2.6	15.2	16	17.5
2026-02-25	0	0.7	-2.2	14.6	14.9	15
2026-02-26	-0	0.7	-0.9	13.7	16	15.2
2026-02-27	-0	0.8	-2.8	10.8	14.8	14.8
2026-02-28	-0.1	1.2	-3.7	11.2	13.3	14.2
2026-03-01	-0	0.8	-1.4	11.2	14.5	14.1
2026-03-02	-0	0.4	-1.4	10.5	16.1	15.9
2026-03-03	-0	0.7	-1.4	11.5	16	14.8
2026-03-04	0	1	-1.9	10.6	15.7	14.4
2026-03-05	0	0.8	-2	10.2	15.7	14.2
2026-03-06	0	0.6	-1.8	9.9	15.1	14.3
2026-03-07	-0	0.8	-2.1	10	13.6	13.4
2026-03-08	0	0.9	-2	10.1	14.6	14.9
2026-03-09	0	0.9	-1.8	10.6	14.3	14.4
2026-03-10	-0	0.8	1.1	20.7	19.7	17.2
2026-03-11	-0	0.3	-1.8	12.7	15.3	13.3
2026-03-12	-0	0.6	-1.6	10.8	15.3	12.6
2026-03-13	0	0.8	-1.4	9.7	14.3	15.4
2026-03-14	-0	0.6	-2.5	11	13.9	14.3
2026-03-15	-0	1.2	-1.3	12.7	17.4	13.9
2026-03-16	-0	0.7	-2.2	11.1	16	15.9
2026-03-17	-0	1.2	-1.9	10.8	15.1	15
2026-03-18	-0	0.5	-1.9	10.8	15.9	14
2026-03-19	0	1	-2.4	12.5	15.4	15.2
2026-03-20	-0	1.2	-1.5	10	14.9	12.9
2026-03-21	-0	0.7	-0.7	9	13.6	12.9
2026-03-22	0	0.4	-0.8	10.4	13.8	13
2026-03-23	-0	1	-0.6	9.9	16	15.6
2026-03-24	-0	0.4	-1	9.5	14.9	16.4
2026-03-25	0	0.9	0.1	9.2	13.7	13.1
2026-03-26	-0	0.9	-0.3	9.9	15.4	14.2
2026-03-27	0	0.4	-0.7	9.1	13.2	13.2
2026-03-28	NaN	NaN	NaN	NaN	NaN	NaN
