# date	CRD_Total_N	CRD_Total_E	CRD_Total_U
2026-01-29	0.61	0.76	3.13
2026-01-30	0.74	0.69	3
2026-01-31	0.73	0.7	2.95
2026-02-01	0.71	0.77	2.9
2026-02-02	0.62	0.84	2.85
2026-02-03	0.7	0.83	2.98
2026-02-04	0.65	0.8	3.03
2026-02-05	0.64	0.82	3.27
2026-02-06	0.67	0.75	2.82
2026-02-07	0.6	0.69	2.8
2026-02-08	0.63	0.64	3.3
2026-02-09	0.7	0.73	2.75
2026-02-10	0.73	0.73	3.27
2026-02-11	0.74	0.74	3.08
2026-02-12	0.65	0.73	3.21
2026-02-13	0.64	0.8	2.8
2026-02-14	0.85	1.07	2.82
2026-02-15	0.74	0.82	2.92
2026-02-16	0.74	0.73	2.74
2026-02-17	0.72	0.79	2.69
2026-02-18	0.72	0.81	3.1
2026-02-19	1.74	2.14	2.81
2026-02-20	0.81	0.81	2.91
2026-02-21	1.02	0.75	3.14
2026-02-22	0.97	0.71	3.37
2026-02-23	0.84	0.66	3.11
2026-02-24	0.72	0.84	3.05
2026-02-25	0.83	0.95	3.25
2026-02-26	0.82	0.92	3.16
2026-02-27	0.78	0.83	3.12
2026-02-28	0.86	0.75	3.12
2026-03-01	0.97	0.66	3.01
2026-03-02	0.92	0.7	2.92
2026-03-03	0.87	0.78	3.05
2026-03-04	0.78	0.7	2.84
2026-03-05	0.82	0.77	2.77
2026-03-06	0.77	0.74	3.02
2026-03-07	0.76	0.95	3.33
2026-03-08	0.81	1.01	3.52
2026-03-09	0.7	0.82	3.13
2026-03-10	0.79	0.94	3.07
2026-03-11	0.73	0.69	3.06
2026-03-12	0.78	0.74	3.09
2026-03-13	0.68	0.78	3.06
2026-03-14	0.71	0.82	2.84
2026-03-15	0.75	0.85	2.88
2026-03-16	0.78	0.7	3.05
2026-03-17	0.74	0.74	2.98
2026-03-18	0.59	0.76	3.06
2026-03-19	0.62	0.64	2.96
2026-03-20	0.69	0.67	2.91
2026-03-21	0.69	0.74	3.01
2026-03-22	0.66	0.78	2.73
2026-03-23	0.64	0.66	3.21
2026-03-24	0.67	0.74	2.97
2026-03-25	0.59	0.63	2.91
2026-03-26	0.63	0.79	3.18
2026-03-27	0.76	0.9	3.11
2026-03-28	NaN	NaN	NaN
2026-03-29	NaN	NaN	NaN
