    YY |    DDD |  Pos-R [mm] |  SVN |  Pos-A [mm] |  SVN |  Pos-C [mm] |  SVN |  Vel-R [mm/s] |  SVN |  Vel-A [mm/s] |  SVN |  Vel-C [mm/s] |  SVN |  North [mm] |  Station |  East [mm] |  Station |  Up [mm] |  Station |  ERP-X [μas] |  ERP-Y [μas] |  ERP-LOD [μs]
    26 |    106 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     ALGO |       0.02 |     AC24 |     0.05 |     AIRA |    -4.70e-01 |     5.80e-01 |      1.00e-03
    26 |    107 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     ARUC |      -0.04 |     IQAL |     0.03 |     AIRA |    -1.23e+00 |     1.16e+00 |     -2.00e-03
    26 |    108 |        0.00 |    1 |        0.20 |    1 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     ADIS |       0.05 |     AIRA |     0.04 |     AIRA |    -1.82e+00 |     1.30e+00 |      3.00e-03
    26 |    109 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     ADIS |      -0.03 |     BRST |     0.17 |     WUHN |    -8.50e-01 |     7.40e-01 |     -1.00e-03
    26 |    110 |        0.00 |    1 |        0.20 |    3 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     ASPA |      -0.04 |     BNDY |    -0.05 |     PALM |    -6.60e-01 |     4.50e-01 |     -2.00e-03
    26 |    111 |        0.00 |    1 |        0.20 |    4 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     AC24 |      -0.03 |     ABMF |     0.07 |     ADIS |    -7.40e-01 |     1.11e+00 |      0.00e+00
    26 |    112 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.02 |     CHUM |      -0.02 |     ABMF |     0.05 |     AIRA |     1.00e-01 |     1.90e-01 |      0.00e+00
    26 |    113 |        0.00 |    1 |        0.10 |    3 |        0.10 |  205 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.07 |     COTE |      -0.07 |     ABPO |    -0.05 |     ALIC |    -1.33e+00 |     1.00e-01 |      6.00e-03
    26 |    114 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     AC24 |       0.03 |     AIRA |     0.04 |     AIRA |    -2.20e-01 |     1.07e+00 |     -3.00e-03
    26 |    115 |        0.00 |    1 |        0.10 |    4 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     ARHT |      -0.03 |     ADIS |    -0.04 |     PALM |    -9.30e-01 |     4.40e-01 |      1.00e-03
    26 |    116 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     AMU2 |      -0.03 |     ABPO |    -0.07 |     PALM |    -8.60e-01 |     3.20e-01 |      1.00e-03
    26 |    117 |        0.00 |    1 |        0.20 |   30 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     ARHT |       0.05 |     ISPA |    -0.08 |     PALM |    -1.33e+00 |     5.30e-01 |      1.00e-03
    26 |    118 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     ALBH |      -0.02 |     ABPO |     0.04 |     AIRA |    -5.80e-01 |    -1.50e-01 |     -1.00e-03
    26 |    119 |        0.00 |    1 |        0.20 |  204 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     AC24 |       0.04 |     AIRA |     0.09 |     WUHN |    -8.70e-01 |     7.40e-01 |     -2.00e-03
    26 |    120 |        0.00 |    1 |        0.20 |    2 |        0.20 |  102 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     ALBH |       0.07 |     AIRA |     0.07 |     AIRA |    -6.70e-01 |    -4.00e-01 |     -2.00e-03
    26 |    121 |        0.00 |    1 |        0.10 |    2 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     AMU2 |      -0.05 |     HNUS |    -0.07 |     PALM |    -7.50e-01 |    -4.60e-01 |      0.00e+00
    26 |    122 |        0.00 |    1 |        0.20 |   14 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     AC24 |      -0.03 |     ALBH |     0.15 |     WUHN |    -1.50e-01 |    -3.70e-01 |     -2.00e-03
    26 |    123 |        0.00 |    1 |        0.20 |    3 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.02 |     SBOK |      -0.03 |     ABPO |     0.12 |     USUD |    -2.20e-01 |     1.60e-01 |      0.00e+00
    26 |    124 |        0.00 |    1 |        0.10 |    8 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.02 |     AIRA |       0.02 |     FAA1 |     0.18 |     WUHN |     0.00e+00 |     0.00e+00 |     -1.00e-03
    26 |    125 |        0.00 |    1 |        0.10 |    3 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     ADIS |       0.03 |     BADG |    -0.18 |     CHPI |    -1.90e-01 |     1.11e+00 |     -3.00e-03
    26 |    126 |        0.00 |    1 |        0.20 |    8 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     ARHT |       0.03 |     AMU2 |    -0.02 |     ADIS |    -1.17e+00 |     5.20e-01 |      0.00e+00
    26 |    127 |        0.00 |    1 |        0.10 |    3 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     AMU2 |      -0.04 |     HARB |     0.03 |     AIRA |    -2.10e-01 |    -4.50e-01 |      0.00e+00
    26 |    128 |        0.00 |    1 |        0.40 |   32 |        0.30 |    3 |          0.00 |   32 |          0.00 |    1 |          0.00 |    1 |       -0.07 |     SCTB |       0.10 |     ISPA |     0.13 |     CZTG |    -1.61e+00 |    -1.40e-01 |      3.00e-03
    26 |    129 |        0.00 |    1 |        0.30 |   14 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     ALRT |       0.09 |     CKIS |     0.05 |     SALU |    -7.20e-01 |     3.40e-01 |      5.00e-03
    26 |    130 |        0.00 |    1 |        0.20 |    8 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.03 |     DUMG |       0.04 |     ASPA |    -0.07 |     ADIS |    -4.50e-01 |     1.80e-01 |      1.00e-03
    26 |    131 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     MCM4 |      -0.04 |     ABPO |     0.04 |     CPVG |    -9.60e-01 |     2.90e-01 |      4.00e-03
    26 |    132 |        0.00 |    1 |        0.20 |    1 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     BNDY |       0.06 |     ASPA |     0.03 |     CPVG |    -2.19e+00 |    -4.90e-01 |      0.00e+00
    26 |    133 |        0.10 |   21 |        0.30 |   20 |        0.20 |  102 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     AIRA |       0.08 |     THTI |    -1.16 |     THTI |     2.30e-01 |     7.60e-01 |      2.10e-02
    26 |    134 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     SUTH |       0.04 |     ROTH |    -0.06 |     PALM |    -1.13e+00 |     1.06e+00 |      2.00e-03
    26 |    135 |        0.00 |    1 |        0.10 |    7 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.03 |     SYOG |      -0.03 |     CAS1 |     0.03 |     AIRA |    -5.00e-01 |     7.00e-01 |      1.00e-03
    26 |    136 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.04 |     ARHT |       0.04 |     AMU2 |    -0.06 |     PALM |    -8.00e-01 |     4.00e-01 |      1.00e-03
    26 |    137 |         --- |  --- |         --- |  --- |         --- |  --- |           --- |  --- |           --- |  --- |           --- |  --- |         --- |      --- |        --- |      --- |      --- |      --- |          --- |          --- |           ---
