    YY |    DDD |  Pos-R [mm] |  SVN |  Pos-A [mm] |  SVN |  Pos-C [mm] |  SVN |  Vel-R [mm/s] |  SVN |  Vel-A [mm/s] |  SVN |  Vel-C [mm/s] |  SVN |  North [mm] |  Station |  East [mm] |  Station |  Up [mm] |  Station |  ERP-X [μas] |  ERP-Y [μas] |  ERP-LOD [μs]
    26 |     30 |        0.00 |    1 |        0.20 |  236 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     AIRA |      -0.07 |     MET3 |     0.26 |     WUHN |     1.52e+00 |     1.76e+00 |      0.00e+00
    26 |     31 |        0.00 |    1 |        0.20 |   19 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     BADG |       0.07 |     ALBH |     0.09 |     INVK |     5.00e-02 |     4.10e-01 |     -1.10e-02
    26 |     32 |        0.00 |    1 |        0.10 |    3 |        0.10 |  229 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     CAS1 |       0.04 |     DAV1 |     0.16 |     WUHN |     6.10e-01 |     1.38e+00 |     -2.00e-03
    26 |     33 |        0.00 |    1 |        0.20 |    4 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     MCM4 |       0.08 |     FAA1 |     0.10 |     WUHN |    -9.30e-01 |     7.30e-01 |     -1.20e-02
    26 |     34 |        0.00 |    1 |        0.10 |    4 |        0.10 |  103 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     BJFS |       0.04 |     AMU2 |     0.11 |     WUHN |    -5.90e-01 |     1.45e+00 |     -8.00e-03
    26 |     35 |        0.00 |    1 |        0.10 |    1 |        0.10 |  126 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        1.22 |     MIKL |       0.67 |     MIKL |     2.18 |     MIKL |     2.00e-02 |     4.10e-01 |      1.00e-03
    26 |     36 |        0.00 |    1 |        0.20 |    7 |        0.20 |  207 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     PALM |       0.08 |     CKIS |    -0.26 |     POLV |    -8.10e-01 |    -5.40e-01 |     -8.00e-03
    26 |     37 |        0.00 |    1 |        0.20 |    5 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.09 |     STK2 |       0.10 |     ALBH |     0.06 |     ABMF |     1.47e+00 |     4.20e-01 |     -1.20e-02
    26 |     38 |        0.00 |    1 |        0.30 |    1 |        0.30 |  233 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     MIZU |       0.11 |     GOL2 |     0.06 |     INVK |     1.10e+00 |     4.20e-01 |     -9.00e-03
    26 |     39 |        0.00 |    1 |        0.40 |   17 |        0.40 |  210 |          0.00 |   17 |          0.00 |    1 |          0.00 |  107 |       -0.09 |     ALRT |       0.14 |     HAL1 |     0.12 |     INVK |     6.80e-01 |     7.40e-01 |     -1.20e-02
    26 |     40 |        0.00 |    1 |        0.20 |   16 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     PALM |       0.06 |     HNLC |     0.10 |     MAUI |    -4.80e-01 |     1.80e-01 |     -1.00e-02
    26 |     41 |        0.00 |    1 |        0.10 |    2 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     IRKJ |      -0.07 |     BOGO |     0.07 |     THTI |    -1.22e+00 |     2.06e+00 |     -6.00e-03
    26 |     42 |        0.00 |    1 |        0.20 |    1 |        0.20 |  107 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     CHAN |      -0.09 |     ARUC |    -0.14 |     POLV |     8.90e-01 |     1.23e+00 |     -5.00e-03
    26 |     43 |        0.00 |    1 |        0.20 |   28 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     BADG |       0.07 |     HNLC |     0.09 |     THTI |     6.80e-01 |     9.30e-01 |     -1.00e-02
    26 |     44 |        0.00 |    1 |        0.20 |    5 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     URUM |       0.07 |     AC24 |     0.05 |     ABMF |     1.10e-01 |     1.46e+00 |     -7.00e-03
