# date	gpsxtr_rms
26/008	1.02
26/009	1.03
26/010	1.06
26/011	1.03
26/012	1
26/013	0.99
26/014	1.01
26/015	1.01
26/016	0.99
26/017	0.99
26/018	0.99
26/019	1
26/020	1.04
26/021	1.02
26/022	0.99
26/023	1
26/024	1.01
26/025	1.04
26/026	1.01
26/027	1.02
26/028	1.04
26/029	1.05
26/030	1.06
26/031	1.04
26/032	1.02
26/033	1.02
26/034	1.03
26/035	1.04
26/036	1.01
26/037	1.02
26/038	1.03
26/039	1.04
26/040	1.03
26/041	1.04
26/042	1.04
26/043	1.03
26/044	1.02
26/045	1.05
26/046	1.03
26/047	1.03
26/048	1.05
26/049	1.03
26/050	1.04
26/051	1.02
26/052	1.03
26/053	1.03
26/054	1.02
26/055	1.03
26/056	1.02
26/057	1.02
26/058	0.99
26/059	1.01
26/060	1.01
26/061	1.03
26/062	1.04
26/063	1.05
26/064	1.01
26/065	1.04
26/066	1.04
26/067	1.03
26/068	1.02
26/069	1.03
26/070	1.02
26/071	1.03
26/072	1.04
26/073	1.04
26/074	1.03
26/075	1.03
26/076	1.03
26/077	1.01
26/078	1
26/079	1.04
26/080	1.03
26/081	1.04
26/082	1.05
26/083	1.04
26/084	1.01
26/085	1.09
26/086	1.02
26/087	1.04
26/088	1.06
26/089	1.03
26/090	1.04
26/091	1.05
26/092	1.05
26/093	1.04
26/094	1.02
26/095	1.04
26/096	1.02
26/097	1.04
26/098	1.02
26/099	1.04
26/100	1.03
26/101	1.03
26/102	1.02
26/103	0.99
26/104	1.03
26/105	1.01
26/106	1.04
26/107	1.03
26/108	1.04
26/109	1.04
26/110	1.02
26/111	1.01
26/112	1
26/113	1.02
26/114	0.99
26/115	1
26/116	1.01
26/117	1.02
26/118	1.02
26/119	1.02
26/120	1
26/121	1.01
26/122	0.99
26/123	1.01
26/124	1.02
26/125	1.01
26/126	1.03
26/127	1.02
26/128	1.04
26/129	1.05
26/130	1.04
26/131	1.01
26/132	1.02
26/133	1.02
26/134	1.01
26/135	1.02
26/136	1.02
26/137	1.04
