# date	num_obs_files
26/005	317
26/006	13
26/007	319
26/008	323
26/009	325
26/010	325
26/011	321
26/012	322
26/013	323
26/014	319
26/015	319
26/016	318
26/017	318
26/018	324
26/019	321
26/020	320
26/021	322
26/022	322
26/023	320
26/024	326
26/025	323
26/026	323
26/027	324
26/028	323
26/029	326
26/030	328
26/031	331
26/032	330
26/033	325
26/034	322
26/035	323
26/036	322
26/037	320
26/038	325
26/039	322
26/040	324
26/041	319
26/042	319
26/043	320
26/044	318
26/045	321
26/046	326
26/047	319
26/048	319
26/049	318
26/050	316
26/051	317
26/052	315
26/053	314
26/054	315
26/055	312
26/056	312
26/057	318
26/058	318
26/059	317
26/060	318
26/061	319
26/062	319
26/063	317
26/064	317
