# date	G_AR_WL	G_AR_NL	G_AR_NLR	E_AR_WL	E_AR_NL	E_AR_NLR
26/076	95.6	83.9	87.2	96.1	85.5	88.4
26/077	95.8	84.3	87.4	96.4	86.7	89.3
26/078	95.8	84.3	87.4	96.2	86	88.8
26/079	95.4	82.9	86.1	96	85.1	88
26/080	95.6	83.1	86.3	96.4	86.5	89.1
26/081	95.2	82.5	85.8	95.7	84.8	87.9
26/082	95.3	83.1	86.4	95.8	85.4	88.4
26/083	95.7	84	87.1	96.1	86.7	89.6
26/084	95.4	83.8	87.1	95.8	85.5	88.5
26/085	95.6	83.5	86.6	95.9	85.7	88.8
26/086	95.6	83.6	86.7	95.9	85.8	88.8
26/087	95.8	84.3	87.3	95.9	85.9	89
26/088	95.5	83.4	86.7	96	85.9	89
26/089	95.5	83.8	87.2	95.9	85.8	88.8
26/090	95.8	83.7	86.6	96.3	85.9	88.6
26/091	95.4	83.2	86.5	96.2	85.3	88.1
26/092	95.5	82.9	86.2	95.8	85	88.2
26/093	95.3	82.8	86.2	95.9	85.9	88.9
26/094	95.5	84.3	87.6	96.1	86.4	89.4
26/095	95.7	84	87.1	96.2	86.3	89.1
26/096	95.8	84.3	87.4	96.1	86.1	89.1
26/097	95.8	84.3	87.4	96.2	86.3	89.2
26/098	95.5	83.8	87	96.2	86.3	89.1
26/099	95.7	83.2	86.2	95.9	85.6	88.6
26/100	95.4	84.1	87.3	95.8	86.3	89.4
26/101	95.8	83.7	86.7	96.2	85.2	88.1
26/102	95.8	83.9	86.9	96.2	86.5	89.4
26/103	95.4	83.7	86.9	95.9	85.6	88.5
26/104	95.9	84.2	87.1	96.1	85.6	88.3
26/105	95.8	84.2	87.2	96.3	85.9	88.6
26/106	95.9	83.6	86.4	96.3	85.3	87.8
26/107	96.1	84.5	87.3	96.2	86.2	88.9
26/108	95.9	83.4	86.3	96.1	85.3	88.1
26/109	96	83.7	86.6	96.3	85.7	88.3
26/110	95.6	83.4	86.5	96	86.1	89
26/111	95.6	83.9	87	96.3	86	88.5
26/112	96.1	84.2	87	96.1	85.8	88.5
26/113	95.8	84.2	87.1	96.2	86.7	89.3
26/114	96	83.9	86.8	96.2	85.8	88.5
26/115	95.8	84.4	87.4	96.3	86.2	88.9
26/116	95.8	83.5	86.6	96.2	85	87.8
26/117	95.6	83.4	86.6	95.9	85.2	88.2
26/118	95.4	82.9	86.1	96	85.4	88.1
26/119	95.7	83.7	86.7	96.4	86.2	88.7
26/120	95.8	83.4	86.4	96.1	85.5	88.4
26/121	95.6	82.9	86.1	96.2	85	87.8
26/122	95.8	84.2	87.3	95.9	85.6	88.7
26/123	95.8	84.2	87.3	96.4	85.9	88.7
26/124	95.5	83.3	86.6	95.8	85	88
26/125	95.6	84.2	87.4	96.2	86.6	89.4
26/126	95.7	83.7	86.9	96.2	85.5	88.3
26/127	96	84.6	87.6	96.2	86.4	89.3
26/128	96.1	84	86.9	96.4	86.2	88.8
26/129	96	84.5	87.3	96.3	84.9	87.4
26/130	96.4	84.4	87	96.5	86	88.5
26/131	96	84.7	87.5	96.5	86.5	88.9
26/132	96	84.2	87.1	96.3	85.6	88.2
26/133	95.9	83.9	86.8	96	86.4	89.3
26/134	96.7	84.6	87	96.7	86	88.2
26/135	96	84	86.8	96.1	86.3	89.1
26/136	96	83.5	86.4	96.7	86.3	88.6
26/137	95.9	84.4	87.2	96	85.9	88.8
26/138	96.1	84.7	87.6	96.3	87	89.6
26/139	96.1	84.3	87	96.6	86.6	89.1
26/140	96.3	84.9	87.6	96.7	87	89.4
26/141	96.1	84.6	87.5	96.7	87.1	89.6
26/142	96.2	85.2	88	96.4	87.3	90.1
26/143	96	85	87.9	96.4	87.3	89.9
26/144	96.1	84.5	87.2	96.3	86	88.6
26/145	96.1	84.6	87.4	96.4	86.4	89
26/146	95.9	84.4	87.4	96.5	86.5	89.1
26/147	95.9	84.1	87	96.2	86	88.7
26/148	95.9	83.4	86.2	96.2	85.3	88.1
26/149	95.9	83.9	86.7	95.8	86.2	89.1
26/150	95.9	84.1	86.9	96.3	86.6	89.2
26/151	96.3	83.8	86.5	96.6	86.3	88.8
26/152	96	83.7	86.5	96.1	85.7	88.6
26/153	96.1	84.3	87.1	96.5	86.6	89.2
26/154	96	83.6	86.4	96.5	85.9	88.4
26/155	96	83.9	86.8	96.2	86.7	89.6
26/156	95.7	83.1	86.1	96.2	85.2	87.9
26/157	96.1	84	86.6	96.1	85.8	88.7
26/158	96	83.8	86.6	96.4	86.4	89
26/159	95.4	83.7	87	96	86.1	88.9
26/160	95.8	83.6	86.7	96.1	85.8	88.7
26/161	95.8	83.5	86.4	96.5	86.2	88.6
26/162	NaN	NaN	NaN	NaN	NaN	NaN
26/163	NaN	NaN	NaN	NaN	NaN	NaN
26/164	95.8	83.1	86.1	96.4	86	88.6
26/165	95.9	84.2	87.3	96.6	86.2	88.7
26/166	96	83.5	86.4	96.6	86	88.4
26/167	95.9	83.5	86.6	96.5	85.3	87.8
26/168	96.2	83.6	86.4	96.5	85.9	88.5
26/169	95.8	83.7	86.7	96.3	86	88.7
26/170	96.2	84.5	87.3	96.5	86.4	89.1
26/171	96.3	84.1	86.9	96.8	86.2	88.5
26/172	96.2	83.8	86.7	96.4	85.1	87.8
26/173	96.2	83.5	86.3	96.6	86	88.5
26/174	96.1	83.7	86.5	96.7	85.6	88
26/175	95.9	84	86.9	96.1	85.9	88.9
26/176	95.9	83.3	86.3	96.2	86	88.8
26/177	95.9	82.7	85.6	96.3	84.5	87.2
26/178	96	83.7	86.7	96.8	86.5	88.9
26/179	96.3	84.4	87.1	96.5	85.9	88.6
26/180	96.1	84	86.7	96.5	85.9	88.5
26/181	96.3	83.7	86.4	97.1	86.9	88.9
26/182	96	83.5	86.5	96.5	85.9	88.5
26/183	96.1	83.1	86.1	96.5	85.7	88.4
26/184	95.9	83.4	86.4	96.5	85.9	88.5
26/185	96.1	83.3	86.1	96.3	85.1	88
26/186	96.2	83.9	86.8	96.8	86.6	89.1
26/187	96.2	84.5	87.3	96.3	86.4	89.2
26/188	96.2	83.1	85.8	96.8	86.2	88.5
26/189	96	84.1	86.9	96.3	85.3	88.1
26/190	96.3	84.4	87	96.2	85	87.8
26/191	96.1	83.5	86.1	96.5	85.8	88.3
26/192	96.3	84.6	87.4	96.4	86.1	89
26/193	96.1	84	86.8	96.5	86	88.7
26/194	96.1	84.2	87	96.6	86.2	88.6
26/195	96	83.9	86.9	96.4	86.1	88.8
26/196	96.1	83.9	86.7	96.8	86	88.4
26/197	96.4	84	86.6	97	85.4	87.6
26/198	95.8	84	87	96.9	86.5	88.8
26/199	96.2	85	87.9	96.7	86.7	89.2
26/200	96.1	84.8	87.7	96.6	86.7	89.4
26/201	96.6	85.2	87.8	97	86.8	89.1
26/202	96	84.6	87.5	96.5	86.3	88.9
26/203	96.1	83.7	86.4	96.6	86.7	89.3
26/204	95.8	83.4	86.3	96.7	86.3	88.7
26/205	NaN	NaN	NaN	NaN	NaN	NaN
